company,job_title,location,job_url,jd_text,post_time,job_level,work_mode
Northstar AI,GenAI Application Engineer,San Francisco CA,https://example.com/northstar-genai-engineer,"Posted 2 days ago. Build production GenAI applications with Python, FastAPI, RAG, LLM APIs, evaluation workflows, and customer-facing automation. 2+ years experience preferred. Work with product teams to turn AI prototypes into business impact.",2 days ago,Junior,Hybrid
VectorWorks,LLM Engineer - RAG Platform,Remote US,https://example.com/vectorworks-llm-rag,"Posted today. Design retrieval augmented generation systems using Python, LangChain, vector databases, embeddings, and cloud deployment. The role emphasizes practical LLM application engineering and measurable enterprise outcomes.",Today,Mid,Remote
CloudPilot AI,AI Engineer - Agent Workflows,New York NY,https://example.com/cloudpilot-ai-agent,"Posted 1 week ago. Develop AI agents and automation workflows for SaaS customers. Requirements include Python, APIs, prompt engineering, evaluation, and production support. AWS or cloud experience is a plus.",1 week ago,Junior,Hybrid
Apex Analytics,Applied AI Engineer,Seattle WA,https://example.com/apex-applied-ai,"Posted 3 days ago. Create applied AI features for analytics products using Python, machine learning, LLM integrations, and FastAPI services. Partner with sales and customer success to prove business value.",3 days ago,Mid,Onsite
BrightSaaS,AI Solutions Engineer,Remote US,https://example.com/brightsaas-ai-solutions,"Posted 5 days ago. Work with enterprise customers to scope AI use cases, build demos, and connect SaaS workflows to LLM capabilities. Python scripting and strong communication required. Not a commission-only role.",5 days ago,Entry,Remote
InsightFlow,Technical Consultant - AI Platform,Austin TX,https://example.com/insightflow-technical-consultant,"Posted 2 weeks ago. Implement AI platform pilots for customers, translate business problems into technical designs, and support integrations. Experience with SaaS, APIs, automation, and cloud tools preferred.",2 weeks ago,Junior,Hybrid
OrbitOps,Sales Engineer - SaaS Automation,Remote US,https://example.com/orbitops-sales-engineer,"Posted 6 days ago. Partner with account teams on technical demos for a SaaS automation platform with emerging AI features. Requires consultative selling, API knowledge, and customer solution design.",6 days ago,Mid,Remote
Frontier GenAI,Staff GenAI Platform Engineer,Remote US,https://example.com/frontier-staff-genai,"Posted today. Lead GenAI platform architecture for LLM evaluation, RAG services, Python tooling, and enterprise AI governance. Staff-level role requiring 8+ years of experience.",Today,Staff,Remote
EnterpriseAI Labs,Principal AI Architect,San Francisco CA,https://example.com/enterprise-principal-ai,"Posted yesterday. Principal architect role for AI strategy, LLM platform standards, multi-team technical leadership, and executive roadmap ownership. Requires 10+ years experience.",Yesterday,Principal,Hybrid
Prime Shield,Insurance Sales Representative,Los Angeles CA,https://example.com/prime-shield-sales,"Posted 4 days ago. Sell insurance products to consumers. Commission only compensation. Door-to-door prospecting and cold calling required. No AI engineering work.",4 days ago,Unknown,Onsite
Metro Retail,Retail Sales Associate,Chicago IL,https://example.com/metro-retail-sales,"Posted 1 month ago. Support retail store operations, cashier duties, inventory, and customer service. Weekend shifts required. No software engineering responsibilities.",1 month ago,Unknown,Onsite
FastShip Warehouse,Warehouse Operations Associate,Dallas TX,https://example.com/fastship-warehouse,"Posted 3 weeks ago. Pick, pack, and move packages in a warehouse environment. Physical labor required. No Python, AI, SaaS, or software development responsibilities.",3 weeks ago,Unknown,Onsite
